Item Type Metadata:NewspaperText,Item Type Metadata:Date of meeting,Item Type Metadata:Place,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,Item Type Metadata:Newspaper,Dublin Core:Date,itemType,geolocation:map_type,geolocation:address,Item Type Metadata:meeting date
"ASHTON-UNDER-LYNE.   On Sunday next, Mr. J. Richards, of Pendleton, will deliver a lecture in the Association-room, Catherine Street.",,Ashton-under-lyne,53.4854941,-2.1120849,7,Northern Star,30/10/1841,Meeting,,,31/10/1841
"SHEFFIELD.   Mr. Skevington will lecture in the room, Fig Tree Lane, on Sunday evening, October 31st. Chartists attend, and welcome an old and tried friend.",,Sheffield,53.3806626,-1.4702278,7,Northern Star,30/10/1841,Meeting,,,31/10/1841
"FINSBURY.   Lectures and discussion next Monday evening, at Lunt s Coffee House, Clerkenwell Green.",,Finsbury,51.5265742,-0.1070713,7,Northern Star,30/10/1841,Meeting,,,01/11/1841
"WESTMINSTER.   Mr. Wheeler will lecture at the Charter Coffee-house, Stretton-ground, on Sunday evening next, at eight o clock.",,Westminster,51.5001592,-0.1270244,7,Northern Star,30/10/1841,Meeting,,,31/10/1841
"CHELSEA.   Mr. Dallibar will lecture at the United Coffee-house, George-street, on Sunday evening.",,Chelsea,51.4854247,-0.1654788,7,Northern Star,30/10/1841,Meeting,,,31/10/1841
"MARYLEBONE.   Mr. John Watkins will lecture on Sunday evening next, at the Working Men s Hall, Circus-street, at half-past seven o clock.",,Marylebone,51.518421,-0.1479115,7,Northern Star,30/10/1841,Meeting,,,31/10/1841
"DEPTFORD.   Mr. Morton will lecture at the Pilot, High-street, on Wednesday evening at eight o clock, on the present distressed state of the country.",,Deptford,51.4758453,-0.0215164,7,Northern Star,30/10/1841,Meeting,,,03/11/1841
"FINSBURY.   The shareholders of the Co-operative Stores Society, are requested to meet at Lunt s Coffeehouse, Clerkenwell-Green, on Friday evening, Nov. 5th, 1841, at eight o'clock.",,Finsbury,51.5265742,-0.1070713,7,Northern Star,30/10/1841,Meeting,,,05/11/1841
"STANNINGLEY.   On Sunday next, Mr. Dewhirst will deliver a lecture in Stanningley, at six o clock in the evening, on the evils of class legislation. After the lecture, the enrolment of members will take place, and cards of membership will be delivered out.",,Stanningley,53.806126,-1.6631631,7,Northern Star,30/10/1841,Meeting,,,31/10/1841
"WALWORTH.   A public lecture will be delivered on Monday evening, by Mr Ruffy Ridley, at the Montpelier Tavern, Walworth, at eight o clock ; and it is particularly requested that the members will punctually attend at seven o clock, for the purpose of electing a delegate to the General Council.",,Walworth,51.4898,-0.0905,7,Northern Star,30/10/1841,Meeting,,,01/11/1841
"ECCLESTON.   Mr. Alderson and Mr. Ibbetson will leoture here on Monday evening, Nov. 1st., at seven o clock in the evening.",,Eccleston,53.1563974,-2.8796957,7,Northern Star,30/10/1841,Meeting,,,01/11/1841
"NOTTINGHAM. - Mr. Joseph Burbage will lecture next Monday night, in the Chapel, Rice Place, at eight o clock. ",,Nottingham,52.9549771,-1.1511066,7,Northern Star,30/10/1841,Meeting,,,01/11/1841
"Bronterre O Brien.   This distinguished patriot will. attend a meeting at the Crown and Anchor Tavern, London, on Monday Evening next,  Admission to the body of the room 2d.; tickets for the pUtform 6d* . The surplus to go to the   Press Fund.  A working-man in the chair.",,London,51.512755,-0.114395,7,Northern Star,06/11/1841,Meeting,,,08/11/1841
